R,Theta,Z,X_Ref,Y_Ref,x_Def,y_Def,u_x,u_y,u_z,F_11,F_12,F_13,F_21,F_22,F_23,F_31,F_32,F_33,F_Num_11,F_Num_12,F_Num_13,F_Num_21,F_Num_22,F_Num_23,F_Num_31,F_Num_32,F_Num_33,E_11,E_12,E_13,E_21,E_22,E_23,E_31,E_32,E_33,Eps_11,Eps_12,Eps_13,Eps_21,Eps_22,Eps_23,Eps_31,Eps_32,Eps_33,SigmaSmall_11,SigmaSmall_12,SigmaSmall_13,SigmaSmall_21,SigmaSmall_22,SigmaSmall_23,SigmaSmall_31,SigmaSmall_32,SigmaSmall_33,SigmaFinite_11,SigmaFinite_12,SigmaFinite_13,SigmaFinite_21,SigmaFinite_22,SigmaFinite_23,SigmaFinite_31,SigmaFinite_32,SigmaFinite_33,Tau_Small,Tau_Finite,Tau_Classical,Sigma_ZZ_Small,Sigma_ZZ_Finite,dTorque_Small,dTorque_Finite,F_Error_Frobenius
0.00125,0.0872665,0.5,0.00124524,0.000108945,-0.00106282,0.000657963,-0.00230806,0.000549018,0,-0.801144,-0.598472,-0.00328982,0.598472,-0.801144,-0.0053141,0,0,1,-0.801144,-0.598472,-0.00328982,0.598472,-0.801144,-0.0053141,0,0,1,0,0,-0.000272362,0,0,0.00311311,-0.000272362,0.00311311,1.95E-05,-1.80114,0,-0.00164491,0,-1.80114,-0.00265705,-0.00164491,-0.00265705,0,-6.93E+11,0,-2.53E+08,0,-6.93E+11,-4.09E+08,-2.53E+08,-4.09E+08,-4.16E+11,3.92E+06,2.69E+06,-2.53E+08,2.69E+06,6.60E+06,-4.09E+08,-2.53E+08,-4.09E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,0.261799,0.5,0.00120741,0.000323524,-0.00116093,0.000463411,-0.00236833,0.000139887,0,-0.801144,-0.598472,-0.00231705,0.598472,-0.801144,-0.00580463,0,0,1,-0.801144,-0.598472,-0.00231705,0.598472,-0.801144,-0.00580463,0,0,1,0,0,-0.00080881,0,0,0.00301852,-0.00080881,0.00301852,1.95E-05,-1.80114,0,-0.00115853,0,-1.80114,-0.00290232,-0.00115853,-0.00290232,0,-6.93E+11,0,-1.78E+08,0,-6.93E+11,-4.47E+08,-1.78E+08,-4.47E+08,-4.16E+11,3.08E+06,2.07E+06,-1.78E+08,2.07E+06,7.44E+06,-4.47E+08,-1.78E+08,-4.47E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,0.436332,0.5,0.00113288,0.000528273,-0.00122376,0.000254778,-0.00235664,-0.000273495,0,-0.801144,-0.598472,-0.00127389,0.598472,-0.801144,-0.0061188,0,0,1,-0.801144,-0.598472,-0.00127389,0.598472,-0.801144,-0.0061188,0,0,1,0,0,-0.00132068,0,0,0.00283221,-0.00132068,0.00283221,1.95E-05,-1.80114,0,-0.000636944,0,-1.80114,-0.0030594,-0.000636944,-0.0030594,0,-6.93E+11,0,-9.80E+07,0,-6.93E+11,-4.71E+08,-9.80E+07,-4.71E+08,-4.16E+11,2.50E+06,1.20E+06,-9.80E+07,1.20E+06,8.01E+06,-4.71E+08,-9.80E+07,-4.71E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,0.610865,0.5,0.00102394,0.000716971,-0.00124941,3.84E-05,-0.00227335,-0.000678567,0,-0.801144,-0.598472,-0.000192016,0.598472,-0.801144,-0.00624705,0,0,1,-0.801144,-0.598472,-0.000192016,0.598472,-0.801144,-0.00624705,0,0,1,0,0,-0.00179243,0,0,0.00255985,-0.00179243,0.00255985,1.95E-05,-1.80114,0,-9.60E-05,0,-1.80114,-0.00312352,-9.60E-05,-0.00312352,0,-6.93E+11,0,-1.48E+07,0,-6.93E+11,-4.81E+08,-1.48E+07,-4.81E+08,-4.16E+11,2.26E+06,184550,-1.48E+07,184550,8.26E+06,-4.81E+08,-1.48E+07,-4.81E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,0.785398,0.5,0.000883883,0.000883883,-0.0012371,-0.000179138,-0.00212098,-0.00106302,0,-0.801144,-0.598472,0.00089569,0.598472,-0.801144,-0.00618549,0,0,1,-0.801144,-0.598472,0.00089569,0.598472,-0.801144,-0.00618549,0,0,1,0,0,-0.00220971,0,0,0.00220971,-0.00220971,0.00220971,1.95E-05,-1.80114,0,0.000447845,0,-1.80114,-0.00309274,0.000447845,-0.00309274,0,-6.93E+11,0,6.89E+07,0,-6.93E+11,-4.76E+08,6.89E+07,-4.76E+08,-4.16E+11,2.38E+06,-852379,6.89E+07,-852379,8.14E+06,-4.76E+08,6.89E+07,-4.76E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,0.959931,0.5,0.000716971,0.00102394,-0.0011872,-0.000391236,-0.00190417,-0.00141518,0,-0.801144,-0.598472,0.00195618,0.598472,-0.801144,-0.00593598,0,0,1,-0.801144,-0.598472,0.00195618,0.598472,-0.801144,-0.00593598,0,0,1,0,0,-0.00255985,0,0,0.00179243,-0.00255985,0.00179243,1.95E-05,-1.80114,0,0.00097809,0,-1.80114,-0.00296799,0.00097809,-0.00296799,0,-6.93E+11,0,1.50E+08,0,-6.93E+11,-4.57E+08,1.50E+08,-4.57E+08,-4.16E+11,2.84E+06,-1.79E+06,1.50E+08,-1.79E+06,7.67E+06,-4.57E+08,1.50E+08,-4.57E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.01E-12
0.00125,1.13446,0.5,0.000528273,0.00113288,-0.00110122,-0.000591447,-0.0016295,-0.00172433,0,-0.801144,-0.598472,0.00295723,0.598472,-0.801144,-0.00550611,0,0,1,-0.801144,-0.598472,0.00295723,0.598472,-0.801144,-0.00550611,0,0,1,0,0,-0.00283221,0,0,0.00132068,-0.00283221,0.00132068,1.95E-05,-1.80114,0,0.00147862,0,-1.80114,-0.00275306,0.00147862,-0.00275306,0,-6.93E+11,0,2.27E+08,0,-6.93E+11,-4.24E+08,2.27E+08,-4.24E+08,-4.16E+11,3.60E+06,-2.51E+06,2.27E+08,-2.51E+06,6.92E+06,-4.24E+08,2.27E+08,-4.24E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.01E-12
0.00125,1.309,0.5,0.000323524,0.00120741,-0.000981789,-0.000773687,-0.00130531,-0.00198109,0,-0.801144,-0.598472,0.00386843,0.598472,-0.801144,-0.00490894,0,0,1,-0.801144,-0.598472,0.00386843,0.598472,-0.801144,-0.00490894,0,0,1,0,0,-0.00301852,0,0,0.00080881,-0.00301852,0.00080881,1.95E-05,-1.80114,0,0.00193422,0,-1.80114,-0.00245447,0.00193422,-0.00245447,0,-6.93E+11,0,2.98E+08,0,-6.93E+11,-3.78E+08,2.98E+08,-3.78E+08,-4.16E+11,4.56E+06,-2.92E+06,2.98E+08,-2.92E+06,5.96E+06,-3.78E+08,2.98E+08,-3.78E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.01E-12
0.00125,1.48353,0.5,0.000108945,0.00124524,-0.000832524,-0.000932418,-0.000941468,-0.00217766,0,-0.801144,-0.598472,0.00466209,0.598472,-0.801144,-0.00416262,0,0,1,-0.801144,-0.598472,0.00466209,0.598472,-0.801144,-0.00416262,0,0,1,0,0,-0.00311311,0,0,0.000272362,-0.00311311,0.000272362,1.95E-05,-1.80114,0,0.00233105,0,-1.80114,-0.00208131,0.00233105,-0.00208131,0,-6.93E+11,0,3.59E+08,0,-6.93E+11,-3.20E+08,3.59E+08,-3.20E+08,-4.16E+11,5.60E+06,-2.99E+06,3.59E+08,-2.99E+06,4.92E+06,-3.20E+08,3.59E+08,-3.20E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
0.00125,1.65806,0.5,-0.000108945,0.00124524,-0.000657963,-0.00106282,-0.000549018,-0.00230806,0,-0.801144,-0.598472,0.0053141,0.598472,-0.801144,-0.00328982,0,0,1,-0.801144,-0.598472,0.0053141,0.598472,-0.801144,-0.00328982,0,0,1,0,0,-0.00311311,0,0,-0.000272362,-0.00311311,-0.000272362,1.95E-05,-1.80114,0,0.00265705,0,-1.80114,-0.00164491,0.00265705,-0.00164491,0,-6.93E+11,0,4.09E+08,0,-6.93E+11,-2.53E+08,4.09E+08,-2.53E+08,-4.16E+11,6.60E+06,-2.69E+06,4.09E+08,-2.69E+06,3.92E+06,-2.53E+08,4.09E+08,-2.53E+08,5.26E+06,4.81E+08,4.81E+08,4.81E+08,-4.16E+11,5.26E+06,0.327774,0.327796,1.00E-12
